بسم الله الرحمن الرحيم,بسم الله الرحمن الرحيم
الحمد لله رب العالمين,الحمد لله رب العالمين
الرحمن الرحيم,الرحمن الرحيم
مالك الدين,مالك يوم الدين
نعبد وإياك نستعين,إياك نعبد وإياك نستعين
اهدنا الصراط المستقيم,اهدنا الصراط المستقيم
صراط أنعمت عليهم المغضوب عليهم الضالين,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين
بسم الله الرحمن الرحيم الم,بسم الله الرحمن الرحيم الم
الكتاب ريب هدى للمتقين,ذلك الكتاب لا ريب فيه هدى للمتقين
يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون,الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون
والذين يؤمنون بما أنزل إليك وما أنزل قبلك وبالآخرة يوقنون,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون
هدى ربهم وأولئك المفلحون,أولئك على هدى من ربهم وأولئك هم المفلحون
كفروا سواء عليهم أأنذرتهم تنذرهم يؤمنون,إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون
ختم الله قلوبهم سمعهم أبصارهم غشاوة ولهم عذاب عظيم,ختم الله على قلوبهم وعلى سمعهم وعلى أبصارهم غشاوة ولهم عذاب عظيم
الناس يقول آمنا بالله وباليوم الآخر وما بمؤمنين,ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم بمؤمنين
يخادعون الله والذين آمنوا وما يخدعون إلا أنفسهم وما يشعرون,يخادعون الله والذين آمنوا وما يخدعون إلا أنفسهم وما يشعرون
قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون,في قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون
وإذا قيل تفسدوا الأرض قالوا إنما مصلحون,وإذا قيل لهم لا تفسدوا في الأرض قالوا إنما نحن مصلحون
إنهم المفسدون يشعرون,ألا إنهم هم المفسدون ولكن لا يشعرون
وإذا قيل آمنوا آمن الناس قالوا أنؤمن آمن السفهاء إنهم السفهاء يعلمون,وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء ألا إنهم هم السفهاء ولكن لا يعلمون
وإذا لقوا آمنوا قالوا آمنا وإذا خلوا شياطينهم قالوا إنا معكم إنما مستهزئون,وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلوا إلى شياطينهم قالوا إنا معكم إنما نحن مستهزئون
الله يستهزئ بهم ويمدهم طغيانهم يعمهون,الله يستهزئ بهم ويمدهم في طغيانهم يعمهون
اشتروا الضلالة بالهدى فما ربحت تجارتهم وما كانوا مهتدين,أولئك الذين اشتروا الضلالة بالهدى فما ربحت تجارتهم وما كانوا مهتدين
مثلهم كمثل استوقد نارا فلما أضاءت حوله الله بنورهم وتركهم ظلمات يبصرون,مثلهم كمثل الذي استوقد نارا فلما أضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمات لا يبصرون
صم بكم عمي فهم يرجعون,صم بكم عمي فهم لا يرجعون
كصيب السماء ظلمات ورعد وبرق يجعلون أصابعهم آذانهم الصواعق حذر الموت والله محيط بالكافرين,أو كصيب من السماء فيه ظلمات ورعد وبرق يجعلون أصابعهم في آذانهم من الصواعق حذر الموت والله محيط بالكافرين
يكاد البرق يخطف أبصارهم كلما أضاء مشوا وإذا أظلم عليهم قاموا ولو شاء الله لذهب بسمعهم وأبصارهم الله شيء قدير,يكاد البرق يخطف أبصارهم كلما أضاء لهم مشوا فيه وإذا أظلم عليهم قاموا ولو شاء الله لذهب بسمعهم وأبصارهم إن الله على كل شيء قدير
يا أيها الناس اعبدوا ربكم خلقكم والذين قبلكم لعلكم تتقون,يا أيها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون
لكم الأرض فراشا والسماء بناء وأنزل السماء ماء فأخرج الثمرات رزقا لكم فلا تجعلوا لله أندادا وأنتم تعلمون,الذي جعل لكم الأرض فراشا والسماء بناء وأنزل من السماء ماء فأخرج به من الثمرات رزقا لكم فلا تجعلوا لله أندادا وأنتم تعلمون
